feature	seq174	seq444	seq30	seq225	seq235	seq134	seq175	seq382	seq472	seq236	seq322	seq55	seq139	seq238	seq281	seq422	seq54	seq129	seq230	seq61	seq19	seq24	seq111	seq170	seq767	seq344	seq363	seq72	seq22	seq240	seq217	seq12	seq7	seq579	seq543	seq398	seq400	seq473	seq487	seq173	seq701	seq179	seq249	seq334	seq153	seq310	seq606	seq271	seq66	seq28	seq33	seq56	seq81	seq274	seq142	seq41	seq42	seq194	seq119	seq731	seq246	seq361	seq330	seq333	seq94	seq78	seq302	seq218	seq27	seq189	seq291	seq31	seq276	seq475	seq159	seq278	seq317	seq423	seq231	seq403	seq51	seq2	seq3	seq8	seq44	seq404	seq21	seq126	seq18	seq14	seq6	seq113	seq321	seq154	seq98	seq137	seq409	seq26	seq87	seq213	seq239	seq440	seq64	seq15	seq16	seq76	seq245	seq105	seq10	seq241	seq114	seq157	seq1	seq771	seq165	seq367	seq387	seq305	seq926	seq623	seq801	seq201	seq266	seq654	seq497	seq144	seq182	seq65	seq324	seq73	seq158	seq130	seq210	seq265	seq68	seq178	seq48	seq198	seq50	seq255	seq70	seq149	seq941	seq180	seq106	seq306	seq570	seq163	seq169	seq75	seq264	seq116	seq436	seq359	seq4	seq209	seq411	seq280	seq797	seq216	seq331	seq9	seq46	seq273	seq133	seq257	seq350	seq500	seq433	seq17	seq52	seq11	seq107	seq82	seq37	seq185	seq247	seq1182	seq80	seq451	seq122	seq5	seq314	seq665	seq336	seq303	seq108	seq109	seq288	seq205	seq251	seq803	seq166	seq250	seq190	seq132	seq168	seq311	seq89	seq155	seq35	seq58	seq546	seq176	seq112	seq124	seq39	seq53	seq406	seq36	seq92	seq521	seq775	seq297	seq172	seq77	seq187	seq60	seq43	seq192	seq162	seq32	seq49	seq13	seq40	seq25	seq67	seq212	seq733	seq829	seq815	seq684	seq426	seq849	seq222	seq47	seq193	seq62	seq151	seq161	seq59	seq63	seq101	seq197	seq38	seq417	seq502	seq143	seq318	seq97	seq979	seq326	seq243	seq74	seq136	seq548	seq718
SRR12823315	0	0	129	5	0	166	0	5	0	9	2	0	207	0	13	0	12	6	4	0	87	151	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	6	0	12	0	6	0	0	0	503	109	29	13	17	0	0	31	2	0	3	11	0	19	0	0	0	2	0	2	19	0	0	112	30	7	0	0	6	6	6	5	84	3336	550	51	25	0	83	7	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	631	285	0	0	0	468	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	14	0	0	77	0	0	0	0	35	0	0	5	1	1	0	0	2	0	0	23	0	0	7	6	0	0	0	0	0	19	18	1	1	0	0	0	0	1	0	0	11	5	10	0	0	0	4	2	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	371	0	0	1	0	0	0	0	0	0	0	4	7	0	280	5	120	0	165	31	2	1	0	0	0	0	0	0	10	9	2	1	0	0	543	105	101	61	9	0	0	0	0	0	0	0	2	0	0	0
SRR12823321	0	0	121	0	0	6	0	0	0	0	0	0	8	0	0	0	53	0	0	98	93	30	0	0	11	1	0	0	0	12	0	8	1	0	0	0	0	25	17	62	0	0	0	0	0	14	0	26	0	65	153	41	0	0	0	0	0	10	0	0	3	0	55	0	0	0	0	0	120	0	0	0	0	0	0	0	0	1	0	0	11	504	774	1	54	3	152	0	4	382	648	1	0	0	23	17	0	0	0	0	7	0	7	160	189	50	0	9	325	0	0	3	148	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	64	0	0	0	10	19	0	0	0	0	0	6	0	0	0	4	7	0	2	0	7	0	8	0	3	41	0	0	0	0	0	3	152	7	0	12	0	0	0	7	76	0	7	12	0	1737	0	0	11	1	0	4	352	1	0	0	0	9	17	1	26	0	0	1	0	26	6	0	0	0	0	10	1	0	12	0	0	159	0	0	10	0	0	7	0	0	0	0	13	18	0	2	0	0	99	125	0	145	15	0	0	0	0	0	0	0	2	17	119	18	0	15	38	10	34	29	0	2	0	0	0	0	0	9	23	0	0	0
SRR12823324	0	0	277	23	0	37	3	5	1	0	0	0	88	0	0	0	97	91	0	0	73	25	3	0	3	7	0	1	0	0	0	0	0	10	0	0	0	0	1	1	1	9	3	0	26	0	0	0	62	332	28	8	0	0	0	1	4	0	209	0	0	0	0	21	0	0	0	0	23	0	0	584	15	0	0	0	0	0	14	6	37	2295	443	8	22	1	219	18	0	43	402	0	0	0	4	0	0	0	1	0	1	0	0	496	298	8	10	3	519	0	1	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	3	6	0	0	36	5	4	6	17	3	1	0	0	0	0	0	1	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	3	7	0	6	3	1	33	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	4	0	11	23	0	0	0	2	0	2	0	0	0	32	1	0	14	210	999	27	0	27	0	3	0	0	0	0	0	0	0	80	104	68	122	21	121	10	31	0	102	4	0	0	0	0	0	0	4	0	2	0	1
SRR12823328	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	17	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1919	1387	462	1	0	264	41	208	0	0	0	0	4	2	0	0	0	0	0	0	0	0	11	54	0	4	0	45	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	211	0	18	0	0	3	0	0	0	0	0	0	0	4	4	0	10	0	0	1	0	1	0	93	28	0	5	0	0	0	0	0	0	4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	3	0	0
SRR12823329	0	0	2	2	3	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	53	60	24	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	4	37	30	7	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	4	0	3	2	0	0	7	0	0	0	0	0	2	989	60	60	2	0	4	0	4	0	540	0	0	0	31	461	30	0	771	233	0	0	0	31	59	2	0	0	78	36	12	0	216	0	0	80	64	0	0	0	0	0	0	0	0	0	0	2	5	14	2	0	0	3	1	0	10	0	0	6	6	1	0	2	4	0	0	3	0	0	0	11	0	0	3	0	0	0	0	0	0	162	1	0	1	0	0	0	0	77	2655	53	1	2	0	0	0	0	7	0	69	102	4	2	0	0	3	220	4	99	5	0	3	40	68	106	0	0	0	43	155	171	0	2	0	6	23	5	1	6	0	0	1	5	0	8	47	2	16	0	0	0	5	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	1	0	0	0	1	9	0	0
SRR12823330	10	0	572	27	0	0	52	0	0	2	61	57	0	0	0	0	96	97	0	0	0	64	103	41	1	9	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	51	7	0	42	0	0	0	31	474	108	0	50	0	0	4	111	12	0	0	1	0	1	0	0	0	0	0	12	0	0	0	4	16	1	0	0	0	5	9	88	1761	497	6	55	0	138	7	0	0	30	1	0	0	3	0	0	0	0	0	0	0	5	250	333	24	0	0	952	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	1	91	0	0	0	0	0	18	46	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	41	0	7	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	134	0	50	2	13	0	593	0	1005	0	0	0	0	0	0	0	0	0	1	0	1	8	0	488	0	53	0	69	1	0	0	0	0	0	0	0	0	0	0	0
SRR12823333	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	1289	3280	2848	0	0	0	0	74	0	0	0	0	0	2	1	0	0	0	0	4	0	0	2	2	0	0	0	248	0	0	0	645	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	114	0	375	0	2	0	0	0	0	0	0	6	0	3	0	6	0	6	42	0	0	0	0	1	4	154	37	0	5	0	0	0	0	7	0	20	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	4	2	20	0	0	37	0	0	0	143	1	0	2	0	0	0	0	0	0	0	0	0
SRR12823341	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	326	62	50	64	3	0	0	3	12	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	7	0	20	0	4	0	16	1	0	0	10	0	0	0	0	0	0	0	664	3	0	0	0	0	0	0	0	0	0	0	0	766	2621	1764	1	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	73	0	0	0	755	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	0	101	0	0	116	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	23	20	0	3	0	0	0	23	0	5	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	8	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0
SRR12823345	0	1	0	0	0	0	0	6	0	14	0	0	0	0	1	0	9	0	3	8	18	16	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	3	0	0	2	1	0	480	181	0	15	15	30	17	0	358	1866	5	0	0	202	0	0	2922	0	0	0	2	0	7	29	0	3	12	112	0	1	0	66	25	3	9	5	0	10	1	0	6	5	5	0	2	2	4	0	11	26	0	3	4	19	0	0	0	0	0	5	0	0	2	23	0	0	0	23	0	0	0	0	0	3	6	16	32	14	3	0	26	0	0	0	3	7	0	0	237	0	0	1	0	9	3	1	0	0	0	64	20	0	1	5	1	3	64	0	8	0	4	0	3	0	0	0	2	0	6	21	13	0	2	4	19	7	1	0	0	11	7	0	0	0	13	8	7	0	0	2	0	0	0	39	0	0	13	20	5	0	1	0	6	3	13	0	0	0	1	0	0	0	3	14	0	0	0	0	0	0	0	12	19	4	11	5
SRR12823346	21	0	6	0	60	39	0	2	1	3	4	0	0	0	0	0	12	0	11	10	29	56	0	0	0	0	9	2	0	0	0	0	0	0	0	8	0	3	2	0	0	10	0	0	0	7	1	11	39	50	25	6	80	0	0	15	3	0	0	0	0	0	0	0	0	26	0	9	9	29	0	24	0	0	34	12	0	0	2	8	0	606	324	0	113	10	58	18	0	71	443	43	0	0	44	0	0	130	0	0	0	0	0	69	33	24	10	19	148	0	0	7	259	2	3	0	0	1	5	7	6	8	0	11	10	0	9	4	0	62	11	2	9	3	2	7	7	12	0	3	19	5	6	0	124	0	0	0	51	0	0	0	0	0	4	75	8	6	2	1	0	84	2	0	0	11	4	3	0	87	0	15	78	214	186	2	0	1	12	6	7	283	23	0	9	46	52	28	11	40	6	6	97	29	69	59	14	6	6	24	116	65	0	9	11	63	381	0	0	0	0	10	7	13	53	174	29	53	60	75	39	96	0	9	20	111	0	0	7	0	0	0	9	10	10	9	2	5	4	11	0	4	15	27	75	5	16	0	0	5	2	0	12	17	64	11	0
SRR12823347	16	12	47	0	0	0	0	7	3	0	0	0	0	0	0	0	23	0	3	12	48	4	0	0	0	0	0	0	5	0	50	0	20	1	0	1	0	0	0	3	4	16	0	0	0	0	0	0	3	69	6	0	3	0	0	4	0	0	0	0	0	0	2	0	0	8	0	3	12	7	0	2	1	0	14	22	0	2	13	0	14	543	118	0	68	14	40	13	0	83	375	0	0	13	72	0	0	22	0	3	0	1	0	26	47	54	0	19	73	0	48	2	213	14	9	18	11	1	0	34	8	15	13	23	2	1	5	16	5	46	38	0	39	9	0	10	20	0	0	0	23	1	0	0	28	2	1	13	78	0	0	0	0	14	13	24	37	61	24	24	0	819	0	0	0	15	9	1	0	767	0	132	9	104	136	4	4	6	6	19	12	64	0	3	5	13	22	14	7	16	6	0	24	46	18	15	0	0	33	22	113	95	0	12	13	39	114	1	0	0	0	0	0	2	3	45	27	51	7	3	38	8	3	75	11	174	4	2	10	4	2	0	0	11	283	4	1	0	15	1	13	6	20	14	11	3	0	0	18	25	2	14	45	4	220	2	13
SRR12823348	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	7	9	0	0	17	86	28	0	0	5	0	0	0	0	0	0	0	0	0	0	6	7	2	0	0	0	0	1	1	0	0	0	0	2	0	1	0	42	0	0	1	3	0	0	0	0	0	0	2	3	0	0	48	0	26	0	12	0	0	0	0	2	4	0	0	5	224	145	135	8	8	21	3	178	0	11	3	53	0	10	0	1	0	0	0	2	14	0	27	83	0	0	8	33	2	3	10	35	1	1	0	7	2	7	0	2	9	32	9	4	13	5	7	0	1	64	5	0	2	3	7	0	0	19	0	19	0	0	9	11	0	87	0	0	0	0	0	2	0	17	1	21	17	2	0	0	16	0	2	1	71	5	3	0	19	0	3	239	28	0	131	8	4	0	0	1	50	0	0	96	0	485	4	9	0	0	5	0	0	0	36	18	0	32	4	17	12	6	5	4	0	2	9	1	0	2	9	3	19	0	60	5	0	15	0	6	2	0	3	0	12	0	13	13	10	4	7	0	7	57	0	0	0	0	0	0	2	0	0	0	0	7	0	17	27	2	45	42	9	14	12	12
SRR12823349	5	0	125	20	0	0	74	0	0	0	0	0	0	0	2	14	245	30	32	76	502	276	0	0	4	0	2	0	4	0	0	0	0	0	0	0	0	4	1	0	0	21	0	3	26	0	0	0	31	279	144	60	36	0	88	14	242	32	11	0	29	7	0	0	1	0	0	0	210	12	18	176	0	12	0	0	0	0	21	1	301	841	1043	193	219	0	215	17	0	25	276	0	0	0	0	0	1	0	0	0	0	0	0	158	168	254	0	5	354	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	18	0	0	1	0	0	106	73	1	0	33	2	0	0	0	15	0	0	0	3	32	0	0	0	0	0	0	13	0	0	15	0	0	0	6	0	0	2	1	1	0	1	0	0	3	0	0	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	5	4	1	0	0	6	0	0	0	7	1	0	65	3	19	0	21	0	272	0	442	6	0	0	0	0	0	0	0	0	0	0	228	0	0	3	329	87	0	352	10	0	1	0	0	0	0	0	0	0	0	0
SRR12823350	12	6	34	0	0	0	0	8	0	12	0	0	0	0	0	0	227	0	0	621	30	55	0	0	0	11	12	0	1	0	0	0	0	0	0	5	20	0	4	32	0	0	0	0	1	0	8	3	23	142	17	5	43	8	0	4	44	0	4	0	4	0	0	0	4	0	10	21	0	0	0	0	0	3	0	0	45	14	2	0	0	927	420	928	262	0	98	12	0	10	13	0	13	174	28	2	3	2	0	0	0	21	0	16	250	96	0	49	124	8	23	33	9	5	0	0	0	11	5	2	0	3	16	10	0	8	23	123	0	16	15	16	0	7	54	0	0	0	0	0	10	0	0	0	77	2	1	0	14	0	3	0	0	0	3	2	0	4	3	1	0	20	0	1	0	0	0	6	0	6	0	0	28	59	1	48	13	0	29	7	139	296	12	0	2	0	14	12	4	0	0	1	1	0	0	0	11	18	23	0	279	39	0	29	27	0	0	4	1	6	1	5	0	0	0	12	5	797	24	0	0	0	0	11	857	0	0	0	0	0	4	2	0	5	0	34	4	8	0	0	24	21	0	3	13	0	0	0	0	28	0	0	3	10	1	0	0
SRR12823351	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	8	0	7	0	0	0	9	0	0	0	0	0	1	0	0	3	4	0	0	0	0	0	0	4	0	1	1	0	0	5	9	0	10	0	0	5	0	0	0	0	0	0	0	0	6	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	54	18	17	5	0	1	0	34	2	5	0	0	0	4	6	4	3	0	0	4	4	21	0	7	0	8	38	9	13	0	4	29	0	2	0	5	11	3	6	0	4	7	3	4	10	10	5	3	16	11	12	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	4	0	2	8	1	0	0	2	0	0	0	1	0	4	0	21	0	0	13	0	0	13	1	0	0	0	2	4	0	1	2	1	2	0	1	0	0	1	0	0	0	0	0	1	47	0	24	2	0	3	0	0	2	5	9	0	3	1	1	4	0	3	4	0	0	0	0	6	0	0	0	4	0	0	2	4	0	4	0	2	2	2	0	0	1	4	0	0	0	0	4	0	1	0	8	13	0	0	0	2	0	2	2
SRR12823352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	51	3	0	0	0	0	0	3	0	13	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	5387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	101	2	0	0	0	3481	0	0	0	0	0	0	121	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	2	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	5	0	0
SRR12823354	0	0	0	0	0	6	0	2	0	0	0	0	1	0	2	0	8	0	0	13	12	6	0	0	0	0	22	3	0	2	0	0	0	0	0	21	4	2	0	20	0	0	0	0	0	8	2	1	1	5	5	3	23	0	1	6	2	0	4	0	0	0	1	0	74	41	0	8	0	6	0	3	0	0	0	6	1	0	0	2	0	165	75	32	27	5	4	4	93	8	13	9	5	38	9	3	7	0	0	0	7	32	0	20	29	6	20	176	18	40	11	33	85	2	54	2	3	9	7	7	4	86	34	6	11	177	14	18	11	16	87	374	0	2	3	0	0	0	12	0	5	0	0	0	6	0	5	0	2	2	0	0	3	5	8	0	16	48	12	1	0	4	7	11	6	10	7	8	0	24	7	0	68	325	0	86	17	3	0	0	38	92	2	3	6	7	86	32	11	2	4	6	0	8	2	3	4	12	128	6	297	59	10	11	34	0	22	71	38	0	0	3	0	3	1	21	8	27	3	0	6	2	0	5	0	5	1	0	8	3	4	6	0	13	8	2	0	0	0	0	2	1	0	0	2	0	0	0	28	45	0	0	0	1	3	9	3
SRR12823355	0	0	31	0	0	3	0	0	0	0	7	0	6	0	7	2	0	0	0	0	83	592	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	9	0	0	0	191	18	45	7	110	30	0	51	314	16	16	5	0	4	0	33	0	3	0	0	19	0	0	57	8	0	3	0	0	0	0	0	9	2337	1586	83	2	0	92	0	153	0	360	0	0	0	8	7	0	0	107	30	0	0	0	643	53	0	31	0	351	0	10	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	14	0	0	0	34	0	0	29	23	0	41	0	8	0	0	0	9	0	0	0	6	24	19	7	8	0	3	4	0	3	0	278	40	0	14	0	0	0	1	15	6	0	21	77	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	2	0	0	6	2	27	0	0	0	0	4	0	0	0	0	0	0	0	0	0	177	0	131	0	5	0	0	0	0	0	0	0	0	0	533	0	0	15	8	6	0	0	0	11	7	0	0	0	0	0	0	0	2	0	0	0
SRR12823359	0	0	163	10	0	10	13	0	0	14	0	2	2	5	5	4	158	56	0	0	565	88	0	1	4	28	0	0	0	0	0	0	0	8	0	2	0	0	0	0	3	10	0	10	25	0	0	0	3	117	100	0	2	7	0	2	12	48	13	1	40	1	0	0	0	0	0	0	969	0	40	0	1	0	0	0	3	0	9	3	23	916	314	185	10	0	845	22	95	9	135	4	0	0	2	0	0	0	0	0	0	0	0	112	597	23	0	0	400	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	3	733	6	356	17	0	0	143	51	2	67	4	19	0	6	0	0	0	1	0	0	2	5	0	0	0	0	0	46	9	2	0	0	0	0	5	3	2	8	0	119	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	31	0	4	0	0	3	652	0	157	1	4	0	0	0	0	0	0	0	486	5	75	0	2	0	10	0	0	11	3	0	0	0	0	0	0	0	1	0	0	0
