feature	seq174	seq444	seq30	seq225	seq235	seq134	seq175	seq382	seq472	seq236	seq322	seq55	seq139	seq238	seq281	seq422	seq54	seq129	seq230	seq61	seq19	seq24	seq111	seq170	seq767	seq344	seq363	seq72	seq22	seq240	seq217	seq12	seq7	seq579	seq543	seq398	seq400	seq473	seq487	seq173	seq701	seq179	seq249	seq334	seq153	seq310	seq606	seq271	seq66	seq28	seq33	seq56	seq81	seq274	seq142	seq41	seq42	seq194	seq119	seq731	seq246	seq361	seq330	seq333	seq94	seq78	seq302	seq218	seq27	seq189	seq291	seq31	seq276	seq475	seq159	seq278	seq317	seq423	seq231	seq403	seq51	seq2	seq3	seq8	seq44	seq404	seq21	seq126	seq18	seq14	seq6	seq113	seq321	seq154	seq98	seq137	seq409	seq26	seq87	seq213	seq239	seq440	seq64	seq15	seq16	seq76	seq245	seq105	seq10	seq241	seq114	seq157	seq1	seq771	seq165	seq367	seq387	seq305	seq926	seq623	seq801	seq201	seq266	seq654	seq497	seq144	seq182	seq65	seq324	seq73	seq158	seq130	seq210	seq265	seq68	seq178	seq48	seq198	seq50	seq255	seq70	seq149	seq941	seq180	seq106	seq306	seq570	seq163	seq169	seq75	seq264	seq116	seq436	seq359	seq4	seq209	seq411	seq280	seq797	seq216	seq331	seq9	seq46	seq273	seq133	seq257	seq350	seq500	seq433	seq17	seq52	seq11	seq107	seq82	seq37	seq185	seq247	seq1182	seq80	seq451	seq122	seq5	seq314	seq665	seq336	seq303	seq108	seq109	seq288	seq205	seq251	seq803	seq166	seq250	seq190	seq132	seq168	seq311	seq89	seq155	seq35	seq58	seq546	seq176	seq112	seq124	seq39	seq53	seq406	seq36	seq92	seq521	seq775	seq297	seq172	seq77	seq187	seq60	seq43	seq192	seq162	seq32	seq49	seq13	seq40	seq25	seq67	seq212	seq733	seq829	seq815	seq684	seq426	seq849	seq222	seq47	seq193	seq62	seq151	seq161	seq59	seq63	seq101	seq197	seq38	seq417	seq502	seq143	seq318	seq97	seq979	seq326	seq243	seq74	seq136	seq548	seq718
SRR12823361	22	5	118	30	2	24	8	28	0	1	0	0	19	68	1	1	20	0	0	13	243	85	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	17	2	2	15	0	0	0	27	99	22	25	134	0	0	0	247	25	10	6	1	0	1	0	0	0	0	0	70	0	0	0	0	1	0	0	24	12	6	0	123	926	1609	200	66	6	346	12	0	0	337	10	15	0	21	0	0	0	0	0	0	0	138	85	420	18	0	1	465	6	9	0	211	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	2	0	120	2	0	0	0	78	32	0	0	27	1	1	0	0	1	0	5	4	0	5	44	0	0	0	1	3	177	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	6	0	0	2	1	12	26	0	0	0	2	6	8	0	13	0	5	13	11	0	0	1	0	0	0	0	4	0	14	0	11	49	189	0	1265	0	212	14	12	0	0	0	0	1	0	0	48	2	5	62	14	143	12	122	1	60	6	0	0	0	0	1	1	3	0	0	0	0
SRR12823362	0	0	21	18	0	55	0	0	13	9	0	0	64	121	0	2	0	0	26	85	215	216	0	0	0	0	0	0	10	0	0	0	6	0	20	0	53	0	0	0	0	0	5	15	0	0	0	0	5	31	0	34	0	12	0	50	13	0	0	0	0	0	0	4	5	3	124	40	39	1	0	0	0	0	0	0	12	0	0	3	20	1577	991	198	52	23	5	94	206	0	12	59	0	0	0	0	0	0	0	0	0	0	0	344	132	56	13	0	520	18	124	0	563	0	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	2	0	0	22	9	0	0	3	5	7	22	18	7	0	3	43	4	18	3	89	43	0	0	0	0	33	0	0	0	0	3	0	544	0	0	0	0	0	0	0	63	0	0	0	0	0	0	11	0	0	0	0	61	0	0	0	0	2	31	8	0	0	0	0	0	0	0	62	0	0	0	0	9	3	9	20	2	29	0	0	0	0	0	4	0	0	10	0	16	31	0	10	42	0	8	0	28	155	24	0	5	3	0	0	0	0	23	0	0	0	0	0	14	0	0	42	0	0	0	0	12	0	0	0	12	3	0	3
SRR12823363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	137	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0
SRR12823367	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	867	208	161	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	23	0	0	6	24	0	0	0	0	0	0	0	5	2670	1661	1173	0	0	0	1	8	184	153	0	0	0	2	0	0	0	11	3	12	0	0	52	857	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	11	6	0	0	0	0	0	0	21	0	4	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	19	0	31	0	0	7	0	0	1	0	0	0	0	0	139	6	0	0	0	6	0	0	0	0	6	0	1	0	0	0	1	0	0	1	0	0
SRR12823375	0	2	0	0	0	0	0	0	0	0	18	0	0	44	2	0	3	0	0	0	107	14	0	5	0	0	12	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	11	14	0	212	4	0	0	134	0	11	0	0	0	0	0	0	5	14	0	0	67	0	0	81	9	0	2	0	0	0	0	0	26	1593	403	880	11	0	303	0	253	22	415	4	7	7	9	0	0	0	0	0	0	0	1	198	603	5	0	3	209	0	8	0	205	0	0	0	0	0	5	0	13	0	0	0	0	0	0	0	0	5	6	0	0	3	1	3	3	24	22	89	25	0	0	2	22	8	0	10	0	0	0	49	0	0	6	0	3	0	1	0	5	229	2	3	11	0	0	0	0	22	5	215	0	15	530	1	4	0	34	4	1	434	3	8	0	6	0	0	0	0	0	0	0	0	0	0	0	1	2	10	10	3	0	1	0	0	22	4	0	5	2	0	0	11	0	20	15	0	90	0	0	167	0	786	12	43	0	0	0	0	11	0	23	0	0	0	0	0	5	7	12	7	0	0	56	2	1	20	0	10	0	0	0	12	5	0	0
SRR12823377	0	4	35	6	1	7	16	2	0	0	11	886	16	7	0	1	2	0	0	0	146	90	10	6	0	0	0	0	5	2	0	0	2	0	0	0	2	0	0	0	1	4	0	0	17	1	0	1	44	114	30	7	9	10	26	5	489	1	5	9	0	11	0	2	1	0	0	0	35	0	5	13	0	0	3	0	0	0	2	0	56	3216	461	140	37	0	656	107	34	37	189	0	0	0	10	0	0	0	0	0	2	0	5	346	204	11	0	3	298	0	12	0	282	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	3	5	1	0	0	2	13	0	92	0	7	0	48	4	0	1	2	0	1	0	1	0	5	1	7	0	12	1	0	4	0	0	0	28	1	4	2	0	8	0	0	18	0	37	5	4	5	0	0	0	0	0	0	14	3	0	2	0	0	3	0	0	0	0	0	2	9	1	0	0	5	0	11	3	8	0	0	1	2	1	8	197	0	0	0	0	0	0	1	11	1	5	3	104	9	134	0	24	5	0	0	0	0	0	0	0	0	69	0	34	2	4	9	5	0	0	105	1	6	1	2	4	3	0	0	1	1	0	0
SRR12823378	0	0	53	4	0	0	12	0	0	0	4	114	0	0	0	7	12	3	0	11	458	373	0	0	0	0	0	0	7	0	0	0	1	2	0	0	4	0	0	0	9	2	8	2	10	0	0	0	4	40	173	98	0	0	0	745	2	38	0	0	16	0	8	18	17	8	0	15	303	24	0	29	22	0	3	1	0	3	0	0	10	1609	538	221	49	2	260	0	11	15	613	0	0	0	6	0	0	1	0	0	0	2	0	267	282	34	1	0	269	0	0	0	42	0	0	0	0	0	2	0	5	0	0	0	0	0	3	0	0	3	3	0	0	0	86	42	0	0	1	1	22	2	5	9	55	33	0	8	1	7	4	0	0	3	15	0	0	0	0	1	4	86	33	0	3	0	0	0	10	15	3	6	3	0	0	0	0	0	0	4	4	4	0	0	0	8	6	4	6	4	0	0	2	15	0	4	0	0	2	4	1	7	0	1	0	1	25	23	0	0	0	0	0	0	0	0	1	111	0	11	9	636	318	74	0	101	0	3	0	0	1	0	0	0	8	11	0	24	10	0	72	45	69	0	65	8	0	0	0	0	4	1	0	5	2	0	1
SRR12823379	0	0	17	0	69	0	1	0	0	0	0	1	0	0	0	0	3	8	0	13	290	47	9	0	0	9	0	17	17	1	19	1	5	4	0	0	0	0	3	0	0	0	0	0	0	1	0	0	12	10	4	4	5	5	5	23	12	0	0	0	0	0	7	0	17	11	0	0	7	19	0	1	3	0	31	0	5	0	0	0	1	1478	813	381	10	0	164	1	2021	0	172	1	0	0	0	3	0	0	8	10	0	0	0	55	26	1	0	0	193	0	9	0	600	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	12	1	112	140	1	37	0	0	0	5	2	0	64	3	66	3	9	0	10	149	0	0	0	1	13	31	1198	185	0	3	0	3	0	16	21	15	0	0	0	4	0	0	0	0	0	9	9	0	0	0	0	0	1	0	0	0	0	0	0	11	2	0	0	3	0	12	5	0	0	0	1	6	2	0	0	1	0	0	8	0	5	4	3	0	2	0	10	0	5	23	6	0	3	0	0	0	0	0	0	0	3	1	4	10	18	3	7	0	1	45	0	0	0	0	0	0	1	0	2	21	0	0
SRR12823385	0	0	1	2	1	0	0	0	1	0	0	5	0	13	0	7	3	0	5	1	213	12	144	146	4	1	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	5	7	0	0	0	0	3	3	63	1	0	3	1	0	361	3	0	0	3	0	2	11	0	0	4	63	22	60	16	16	5	1	0	36	0	0	0	0	2	1439	1634	469	6	0	68	12	247	15	34	1	0	0	2	0	3	0	0	0	3	1	370	58	213	0	0	31	201	0	29	0	2909	0	7	1	0	0	0	0	2	17	12	2	2	3	0	4	0	0	0	11	0	0	4	0	0	3	28	0	23	0	0	15	0	0	0	0	1	0	0	0	0	1	9	0	0	0	0	0	0	16	0	0	10	0	0	1	0	0	0	0	0	0	1	0	16	0	4	0	5	21	2	1	1	0	11	18	1	0	0	0	4	4	1	2	3	0	0	1	35	12	0	3	1	0	0	0	0	2	3	0	0	0	1	0	0	0	4	0	0	3	0	1	2	7	23	0	0	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	9	0	0	0	0	2	0	0	0	3	0	0	2
SRR12823386	3	0	0	18	0	10	0	14	1	4	0	0	0	5	1	3	36	5	12	44	136	85	0	0	7	0	0	1	1	0	1	0	0	4	6	0	0	0	0	5	8	0	0	18	3	0	0	0	43	6	25	38	0	0	0	3	0	7	32	7	1	2	3	0	4	0	4	2	89	19	2	0	0	0	14	9	0	0	0	0	2	552	102	5	231	1	194	20	191	0	261	57	0	3	0	0	1	0	0	0	0	0	0	127	55	67	3	13	165	0	6	0	102	0	1	0	2	2	0	2	3	3	7	0	0	0	17	9	3	8	1	0	26	0	11	0	0	4	0	6	53	11	0	2	44	5	1	0	5	2	3	0	0	0	10	13	0	0	0	0	0	23	0	0	4	1	2	0	5	0	0	4721	4	0	1	0	2	2	1	2	5	8	0	0	0	2	0	4	1	0	1	12	7	0	0	33	2	0	0	0	8	2	5	5	1	3	102	0	0	0	0	0	0	1	1	3	1	32	2	13	12	20	2	43	6	562	17	19	4	0	0	1	8	0	0	19	0	0	3	7	0	20	0	0	6	1	4	212	2	4	0	0	9	0	5	2	2
SRR12823387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	7173	1519	14	1	0	20	5	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	402	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR12823388	2	0	16	6	4	4	4	0	0	2	0	0	64	31	0	23	4	3	0	81	373	194	33	38	0	1	5	1	3	1	4	0	0	0	0	7	0	4	1	12	0	4	3	4	9	9	0	6	25	6	13	7	36	0	65	371	0	26	5	1	15	0	3	2	39	9	4	4	115	41	3	0	0	0	0	0	0	0	4	0	9	1996	1033	1404	36	5	8	4	529	0	5	12	0	0	0	0	0	0	0	0	0	0	166	121	138	6	9	26	255	12	11	71	83	0	1	2	0	3	0	2	0	26	0	1	11	39	25	33	0	3	7	12	5	1	0	0	0	0	120	0	87	0	0	14	5	0	0	4	0	0	0	0	0	5	7	0	0	3	1	6	0	76	0	37	93	0	3	0	0	119	0	0	2	0	0	7	1	3	0	0	3	25	0	0	1	0	0	0	2	1	0	0	0	0	0	1	3	0	25	0	36	6	0	0	5	0	1	0	17	1	0	0	1	0	0	1	0	18	2	0	4	93	0	90	27	5	0	0	0	0	0	1	0	0	0	58	1	0	0	13	16	3	0	0	4	5	0	0	4	4	0	1	0	2	0	0	0
SRR12823389	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	29	57	23	0	0	0	0	7	5	0	0	0	0	0	0	1	3	0	0	5	0	0	0	0	0	0	1	0	0	2	22	18	25	0	0	0	6	12	0	0	0	14	0	0	0	42	2	5	0	0	2	12	71	0	0	0	0	0	3	0	0	0	506	258	95	73	0	16	54	230	13	31	76	45	10	6	0	44	0	0	0	0	22	0	90	61	126	0	175	171	16	9	26	296	8	0	6	0	15	1	0	0	15	55	6	2	44	10	14	0	64	37	39	17	1	0	3	0	0	26	4	9	0	0	0	0	0	0	0	1	10	0	0	18	0	29	20	14	59	0	0	0	11	0	65	5	76	3	13	0	83	0	0	7	31	0	79	20	0	36	0	8	495	0	12	0	5	71	15	0	0	0	4	0	8	30	0	3	1	22	23	111	18	24	56	9	0	0	0	38	27	0	17	0	63	0	11	28	25	32	9	2	88	0	60	0	384	0	0	0	35	0	11	0	2	42	32	0	0	0	16	0	66	0	0	1	0	7	0	16	36	14	48	14	32	19	10	5
SRR12823390	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	3	3	10	0	0	0	0	16	0	0	40	0	8	18	12	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	8	0	0	0	0	0	0	6	0	3	0	4	0	21	0	0	0	0	0	0	779	166	0	9	0	70	0	0	2	847	0	0	0	2	0	10	0	0	0	0	0	0	0	17	2	0	4	258	0	21	0	3569	4	0	0	4	0	0	4	0	0	0	0	0	0	6	14	0	28	0	0	0	0	19	0	1	0	0	0	9	7	0	0	1	0	0	16	0	596	0	27	0	12	350	5	0	1	0	2	0	168	15	0	0	2	3	0	3	17	0	0	0	0	0	0	0	0	30	0	0	369	0	0	0	0	5	4	4	0	36	0	11	2	3	7	0	0	0	13	40	12	0	23	3	13	224	0	0	0	9	0	0	2	4	15	0	0	40	0	1	0	2	4	0	0	3	0	4	0	0	0	0	0	0	10	0	5	0	7	0	21	3	8	7	0	0	0	0	3	0	0	0	28	34	0	0
SRR12823391	27	6	0	7	0	8	0	1	10	0	0	0	0	0	0	0	0	3	4	16	5	17	0	0	0	0	0	0	1	0	2	0	2	2	0	0	6	6	2	0	0	2	3	0	0	36	0	4	14	7	6	10	2	0	0	15	0	0	3	0	10	5	0	5	1	0	9	4	0	0	0	4	0	0	27	29	0	0	4	0	8	136	130	0	16	0	1	34	0	133	505	3	0	0	157	2	0	2	2	3	0	0	0	35	28	27	0	14	53	0	17	7	68	21	9	8	9	0	10	2	6	0	16	23	0	0	0	0	0	26	55	5	5	7	0	0	2	0	0	0	1	0	1	0	13	0	14	0	6	0	0	0	2	0	1	4	24	34	11	3	0	40	3	0	0	46	12	1	0	69	0	25	151	16	123	7	6	1	0	0	35	24	4	2	25	32	67	20	21	7	0	0	6	12	6	24	0	0	5	12	240	71	0	13	26	73	23	0	0	0	3	21	0	3	19	213	31	14	5	0	0	10	0	37	11	33	0	1	30	7	0	10	5	9	0	35	0	0	0	12	0	0	3	0	6	0	22	0	4	2	4	23	199	31	42	16	27
SRR12823392	0	2	0	0	10	0	5	0	0	0	0	0	0	0	0	0	54	5	0	0	75	53	4	0	1	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	5	5	13	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	2	238	0	0	6	3	0	0	0	0	21	2546	472	5	1	0	146	24	0	0	108	0	0	0	45	0	0	0	1	0	0	0	0	114	82	0	0	1	205	0	7	0	3764	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	17	11	0	0	0	0	37	50	1	10	0	0	21	26	0	1	0	0	0	0	0	2	0	6	0	1	25	0	0	0	0	2	7	167	6	0	2	0	0	0	0	16	0	2	0	0	0	0	0	0	0	0	4	3	0	0	4	1	1	15	2	0	0	0	1	0	0	4	1	0	3	21	7	4	4	6	4	9	18	0	0	0	0	0	0	0	3	1	2	0	0	0	0	53	2	73	1	2	1	0	0	0	0	0	2	0	0	72	0	21	0	37	31	0	2	0	1	1	0	2	2	0	1	0	1	3	6	0	0
SRR12823395	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	5	99	905	0	0	0	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	18	0	0	0	94	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	1	18	0	0	0	0	0	0	0	96	5169	958	507	0	0	0	1	437	0	0	0	0	0	2	0	0	0	0	0	0	0	734	0	0	3	21	1	325	12	25	7	65	0	30	0	0	2	0	0	0	0	0	0	1	2	0	0	0	10	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	7	0	0	1	0	0	0	1	0	0	14	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	4	0	2	0	1	0	0	0	0	0	6	0	11	3	0	0	0	0	5	0	1	0	0	0	2	2	0	0	1	0	0	0	0	1	0	0	2	0	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	0	1	1	0	0
SRR12823412	30	0	0	0	5	0	0	5	9	36	0	0	0	0	0	5	127	0	0	144	837	170	31	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	5	3	0	20	1	0	3	4	3	0	53	7	0	2	29	0	0	11	0	0	4	0	0	0	0	9	0	11	66	61	17	0	1	1	0	2	0	33	107	20	0	1732	1479	1200	212	15	6	1	0	0	265	78	2	48	0	0	0	0	0	0	0	0	0	161	175	24	0	5	365	1	16	0	70	0	0	0	0	0	0	0	0	1	0	0	0	0	8	6	0	4	0	0	0	56	0	0	303	0	0	0	61	1	0	15	29	3	0	0	0	3	1	0	0	0	4	0	0	0	0	0	0	1	0	2	3	0	0	0	1	0	0	35	0	0	0	0	0	0	1	24	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	1	2	7	0	0	1	0	0	0	0	0	0	3	2	28	229	9	0	0	0	494	4	239	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0
SRR12823415	3	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	2	0	2	6	3	1	0	0	0	0	0	0	8	0	3	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	69	2	0	0	0	1	0	1	0	0	0	0	0	0	0	8	0	1	0	0	242	0	0	0	0	0	0	1	0	537	97	4712	1584	7	0	13	8	6	0	43	8	3	0	0	1	0	0	0	0	0	0	0	99	8	3	0	0	350	0	0	0	68	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	740	0	0	3	2	0	0	0	1	0	0	5	2	1	1	0	3	2	5	0	0	0	0	0	2	189	45	0	4	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	12	3	0	0	0	0	0	4	0	3	1	0	0	0	1	0	1	0	0	6	2	22	2	5	0	0	18	0	0	0	0	0	0	1	0	0	1	3	0	1	4	1	3	5	0	5	3	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
SRR12823418	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	6	5	1	0	0	0	4	1	0	0	123	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	197	69	1	2	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	36	0	6	0	0	1	19	2	0	0	6149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	21	0	5	0	0	228	0	0	0	0	0	0	15	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	2	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	717	5	0	0	0	0	2	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
SRR12823420	9	4	0	0	0	0	0	2	4	6	6	24	0	0	2	0	21	3	4	46	40	26	9	0	0	0	0	1	18	3	44	1	5	0	4	0	0	7	16	6	0	0	0	0	0	18	20	6	30	24	0	0	7	0	0	3	0	6	0	0	0	0	1	0	64	19	1	7	19	1	2	2	1	3	148	0	0	0	0	0	5	409	141	139	23	8	56	17	159	1926	2444	38	21	4	3	2	0	0	18	6	27	0	0	38	49	31	8	7	84	0	34	0	501	0	25	5	0	0	0	0	1	0	1	0	0	0	0	0	3	22	1	0	2	6	0	0	1	4	26	5	20	2	0	0	23	1	0	4	16	2	0	11	0	21	48	0	0	0	0	19	0	250	126	3	18	0	0	0	1	355	0	0	12	0	2	0	0	0	5	0	28	93	0	1	29	0	77	2	0	41	2	0	0	2	4	2	1	6	23	20	13	15	0	20	0	171	26	14	0	0	0	0	2	0	0	0	0	2	2	1	0	0	0	29	62	14	0	1	0	0	0	0	14	0	1	0	0	0	0	0	3	21	0	1	62	0	0	0	0	5	2	1	0	1	0	0	0
SRR12823423	4	0	82	0	12	4	28	0	0	2	1	4	0	0	0	0	41	9	0	3	88	86	4	0	0	0	6	15	48	10	4	18	11	0	0	2	1	13	4	1	0	3	38	0	11	9	5	20	12	71	237	99	82	20	4	19	5	4	3	0	3	11	0	0	174	180	0	0	49	0	1	149	8	0	4	0	0	0	0	0	188	1562	327	11	23	0	75	5	0	6	107	2	0	0	11	0	0	0	2	5	0	0	0	355	139	5	0	3	337	0	19	0	809	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	1	0	0	2	210	0	3	0	0	2	59	12	3	2	0	4	0	3	1	27	18	0	4	0	73	2	0	0	0	1	2	86	4	7	14	0	2	0	2	17	0	0	0	0	0	0	0	0	1	0	2	43	0	0	0	0	0	18	0	0	0	0	2	0	0	4	0	0	2	16	5	2	0	8	0	2	10	6	0	0	4	2	0	0	0	0	0	12	3	0	0	120	9	892	85	0	4	1	0	0	0	0	0	0	0	109	0	13	0	115	0	25	28	0	59	0	4	0	0	0	0	0	0	1	0	0	0
SRR12823424	0	0	69	0	2	0	6	0	0	8	0	0	0	0	0	2	153	44	0	0	139	61	11	30	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	5	17	65	34	0	24	0	0	0	25	0	10	10	0	19	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	2	0	27	2774	3044	322	9	4	64	12	0	0	58	2	0	0	5	0	0	1	0	0	0	0	216	148	302	12	0	0	384	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	3	0	69	35	0	0	0	112	95	10	0	0	0	0	0	0	4	0	5	0	0	17	0	0	0	0	0	0	26	0	0	1	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	41	1	0	0	0	0	0	0	0	3	0	0	24	0	589	0	10	0	0	0	0	0	0	0	0	0	71	13	31	9	0	10	0	9	0	0	3	0	1	0	0	0	0	0	0	0	0	0
SRR12823425	0	0	96	4	0	29	15	0	1	1	1	6	0	1	0	0	9	14	1	2	122	12	38	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	2	0	0	4	0	0	1	2	56	51	34	0	0	1	67	25	0	20	0	0	2	0	0	0	0	0	0	15	0	0	67	0	0	0	0	17	0	3	0	72	4558	478	271	20	0	117	28	23	760	696	0	0	1	3	181	0	5	5	2	2	0	0	237	176	7	0	1	298	0	0	0	43	0	0	21	33	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	56	28	0	0	6	2	1	10	0	22	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	56	0	0	2	0	0	7	0	0	2	3	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	73	0	0	0	0	0	0	10	44	0	0	0	14	0	1	0	0	0	0	3	25	0	0	0	0	2	0	0	3	13	4	0	0	0	57	0	395	0	1	0	0	0	0	0	0	0	0	0	12	1	38	0	0	12	13	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
